0.0,1717176557000,1.0
1.0,1717176560000,5.0
2.0,1717176560000,5.0
3.0,1717176561000,5.0
4.0,1717176561000,5.0
5.0,1717176561000,5.0
6.0,1717176572000,4.0
7.0,1717176575000,37.0
8.0,1717176576000,5.0
9.0,1717176576000,5.0
10.0,1717176576000,5.0
11.0,1717176576000,5.0
12.0,1717176587000,1.0
13.0,1717176597000,1.0
14.0,1717176607000,19.0
15.0,1717176627000,1.0
16.0,1717176647000,1.0
17.0,1717176657000,1.0
18.0,1717176667000,1.0
19.0,1717176687000,1.0
20.0,1717176697000,41.0
21.0,1717176707000,1.0
22.0,1717176727000,1.0
23.0,1717176747000,19.0
24.0,1717176757000,1.0
25.0,1717176767000,1.0
26.0,1717176777000,1.0
27.0,1717176788000,1.0
28.0,1717176808000,1.0
29.0,1717176818000,45.0
30.0,1717176838000,40.0
31.0,1717176848000,1.0
32.0,1717176858000,22.0
33.0,1717176868000,32.0
34.0,1717176878000,1.0
35.0,1717176888000,1.0
36.0,1717176898000,29.0
37.0,1717176908000,28.0
38.0,1717176918000,1.0
39.0,1717176928000,1.0
40.0,1717176938000,52.0
41.0,1717176948000,37.0
42.0,1717176958000,15.0
43.0,1717176968000,1.0
44.0,1717176998000,1.0
45.0,1717177008000,35.0
46.0,1717177038000,1.0
47.0,1717177048000,1.0
48.0,1717177058000,1.0
49.0,1717177072000,4.0
50.0,1717177076000,1.0
51.0,1717177086000,1.0
