name,average,max
1,8.13,63.0
2,6.54,65.0
3,7.3,61.0
4,10.21,52.0
5,9.84,66.0
6,12.65,75.0
7,9.3,69.0
8,10.42,65.0
9,10.51,65.0
10,14.87,63.0
11,11.53,58.0
12,16.72,68.0
13,18.92,67.0
14,15.54,58.0
15,23.75,68.0
