name,average,max
1,3.32,3.91
2,3.47,3.9
3,3.26,3.9
4,2.54,3.5
5,2.66,3.5
6,2.65,3.49
7,3.02,3.65
8,2.86,3.65
9,3.14,3.67
10,2.44,3.28
11,2.12,3.28
12,2.69,3.28
13,2.41,3.28
14,2.0,3.29
15,2.53,3.28
