name,average,max
1,17.77,27.94
2,18.07,28.72
3,16.98,28.25
4,11.61,19.99
5,12.52,20.23
6,12.83,21.4
7,14.78,25.49
8,13.95,24.69
9,15.27,22.6
10,11.96,18.79
11,9.87,18.6
12,13.57,18.51
13,8.79,13.71
14,7.08,13.92
15,9.6,14.27
