uuid,min_x,min_y,max_x,max_y,start_date,end_date,geometry
f5aeef49-9348-412e-a857-305d6f875375,8.26171875,49.49667452747043,8.4375,49.610709938074216,2022-07-01,2022-07-31,"POLYGON ((8.26171875 49.49667452747043, 8.26171875 49.610709938074216, 8.4375 49.610709938074216, 8.4375 49.49667452747043, 8.26171875 49.49667452747043))"
a7ce8a9b-bedd-42a8-9496-3b5e41ed8c84,8.4375,49.15296965617039,8.61328125,49.26780455063753,2022-07-01,2022-07-31,"POLYGON ((8.4375 49.15296965617039, 8.4375 49.26780455063753, 8.61328125 49.26780455063753, 8.61328125 49.15296965617039, 8.4375 49.15296965617039))"
a4ea86a2-8cad-4991-8c53-aebf6647300d,8.4375,49.26780455063753,8.61328125,49.38237278700955,2022-07-01,2022-07-31,"POLYGON ((8.4375 49.26780455063753, 8.4375 49.38237278700955, 8.61328125 49.38237278700955, 8.61328125 49.26780455063753, 8.4375 49.26780455063753))"
9fd0a7a1-343f-410c-9150-9669edbfb46b,8.61328125,49.15296965617039,8.789062499999998,49.26780455063753,2022-07-01,2022-07-31,"POLYGON ((8.61328125 49.15296965617039, 8.61328125 49.26780455063753, 8.789062499999998 49.26780455063753, 8.789062499999998 49.15296965617039, 8.61328125 49.15296965617039))"
200f67fa-1773-44fb-8281-4fab65010dea,8.61328125,49.26780455063753,8.789062499999998,49.38237278700955,2022-07-01,2022-07-31,"POLYGON ((8.61328125 49.26780455063753, 8.61328125 49.38237278700955, 8.789062499999998 49.38237278700955, 8.789062499999998 49.26780455063753, 8.61328125 49.26780455063753))"
924ff7e6-aad6-427a-ab31-509dfadfd9bf,8.789062499999998,49.15296965617039,8.96484375,49.26780455063753,2022-07-01,2022-07-31,"POLYGON ((8.789062499999998 49.15296965617039, 8.789062499999998 49.26780455063753, 8.96484375 49.26780455063753, 8.96484375 49.15296965617039, 8.789062499999998 49.15296965617039))"
62653fa5-0357-4a97-aea9-e342db80debb,8.789062499999998,49.26780455063753,8.96484375,49.38237278700955,2022-07-01,2022-07-31,"POLYGON ((8.789062499999998 49.26780455063753, 8.789062499999998 49.38237278700955, 8.96484375 49.38237278700955, 8.96484375 49.26780455063753, 8.789062499999998 49.26780455063753))"
fe22aa18-f7a9-4525-82fa-8646fb45093f,8.96484375,49.15296965617039,9.140625,49.26780455063753,2022-07-01,2022-07-31,"POLYGON ((8.96484375 49.15296965617039, 8.96484375 49.26780455063753, 9.140625 49.26780455063753, 9.140625 49.15296965617039, 8.96484375 49.15296965617039))"
7600491d-363e-431c-bfca-8972cdbff324,8.96484375,49.26780455063753,9.140625,49.38237278700955,2022-07-01,2022-07-31,"POLYGON ((8.96484375 49.26780455063753, 8.96484375 49.38237278700955, 9.140625 49.38237278700955, 9.140625 49.26780455063753, 8.96484375 49.26780455063753))"
0cd331a8-c9a0-4396-9897-d66455b3ba86,8.4375,49.38237278700955,8.61328125,49.49667452747043,2022-07-01,2022-07-31,"POLYGON ((8.4375 49.38237278700955, 8.4375 49.49667452747043, 8.61328125 49.49667452747043, 8.61328125 49.38237278700955, 8.4375 49.38237278700955))"
e51f3a95-a788-4787-84d2-1a119461d706,8.4375,49.49667452747043,8.61328125,49.610709938074216,2022-07-01,2022-07-31,"POLYGON ((8.4375 49.49667452747043, 8.4375 49.610709938074216, 8.61328125 49.610709938074216, 8.61328125 49.49667452747043, 8.4375 49.49667452747043))"
7c9691c1-a7df-497e-8d38-a3aabe5d1013,8.61328125,49.38237278700955,8.789062499999998,49.49667452747043,2022-07-01,2022-07-31,"POLYGON ((8.61328125 49.38237278700955, 8.61328125 49.49667452747043, 8.789062499999998 49.49667452747043, 8.789062499999998 49.38237278700955, 8.61328125 49.38237278700955))"
22d45e02-98a3-43d2-b6f3-e143213b89dc,8.61328125,49.49667452747043,8.789062499999998,49.610709938074216,2022-07-01,2022-07-31,"POLYGON ((8.61328125 49.49667452747043, 8.61328125 49.610709938074216, 8.789062499999998 49.610709938074216, 8.789062499999998 49.49667452747043, 8.61328125 49.49667452747043))"
5afe5676-496e-418e-a9b9-309c9c4a3f37,8.4375,49.610709938074216,8.61328125,49.72447918871299,2022-07-01,2022-07-31,"POLYGON ((8.4375 49.610709938074216, 8.4375 49.72447918871299, 8.61328125 49.72447918871299, 8.61328125 49.610709938074216, 8.4375 49.610709938074216))"
9668dbe5-cc94-4633-8749-463f1b26df72,8.61328125,49.610709938074216,8.789062499999998,49.72447918871299,2022-07-01,2022-07-31,"POLYGON ((8.61328125 49.610709938074216, 8.61328125 49.72447918871299, 8.789062499999998 49.72447918871299, 8.789062499999998 49.610709938074216, 8.61328125 49.610709938074216))"
f362b002-5a1c-46aa-aba3-db1c21826a56,8.789062499999998,49.38237278700955,8.96484375,49.49667452747043,2022-07-01,2022-07-31,"POLYGON ((8.789062499999998 49.38237278700955, 8.789062499999998 49.49667452747043, 8.96484375 49.49667452747043, 8.96484375 49.38237278700955, 8.789062499999998 49.38237278700955))"
7aa04d62-2373-4af4-b505-cf538bcb8834,8.789062499999998,49.49667452747043,8.96484375,49.610709938074216,2022-07-01,2022-07-31,"POLYGON ((8.789062499999998 49.49667452747043, 8.789062499999998 49.610709938074216, 8.96484375 49.610709938074216, 8.96484375 49.49667452747043, 8.789062499999998 49.49667452747043))"
f1853fd7-c512-45e0-8052-778302aca815,8.96484375,49.38237278700955,9.140625,49.49667452747043,2022-07-01,2022-07-31,"POLYGON ((8.96484375 49.38237278700955, 8.96484375 49.49667452747043, 9.140625 49.49667452747043, 9.140625 49.38237278700955, 8.96484375 49.38237278700955))"
d4b760ff-7e3d-45bf-baf8-e4aca49922ce,8.96484375,49.49667452747043,9.140625,49.610709938074216,2022-07-01,2022-07-31,"POLYGON ((8.96484375 49.49667452747043, 8.96484375 49.610709938074216, 9.140625 49.610709938074216, 9.140625 49.49667452747043, 8.96484375 49.49667452747043))"
c3de4d46-d62e-4792-be5f-5b9dceadf2f3,8.26171875,49.49667452747043,8.4375,49.610709938074216,2022-09-01,2022-09-30,"POLYGON ((8.26171875 49.49667452747043, 8.26171875 49.610709938074216, 8.4375 49.610709938074216, 8.4375 49.49667452747043, 8.26171875 49.49667452747043))"
