0.0,1717176560000,3.0
1.0,1717176560000,7.0
2.0,1717176561000,10.2
3.0,1717176561000,10.9
4.0,1717176561000,9.1
5.0,1717176561000,6.1
6.0,1717176561000,12.0
7.0,1717176562000,13.1
8.0,1717176562000,11.5
9.0,1717176562000,11.8
10.0,1717176562000,9.5
11.0,1717176572000,18.7
12.0,1717176575000,35.9
13.0,1717176576000,0.5
14.0,1717176576000,2.0
15.0,1717176576000,6.2
16.0,1717176576000,4.9
17.0,1717176576000,2.3
18.0,1717176576000,1.1
19.0,1717176577000,1.6
20.0,1717176577000,1.1
21.0,1717176577000,1.5
22.0,1717176577000,1.9
23.0,1717176577000,1.0
24.0,1717176587000,61.7
25.0,1717176597000,44.6
26.0,1717176607000,61.4
27.0,1717176617000,61.0
28.0,1717176627000,54.9
29.0,1717176637000,33.7
30.0,1717176647000,19.5
31.0,1717176657000,27.8
32.0,1717176667000,49.3
33.0,1717176677000,28.9
34.0,1717176687000,30.9
35.0,1717176697000,44.3
36.0,1717176707000,47.1
37.0,1717176717000,22.2
38.0,1717176727000,27.1
39.0,1717176737000,41.1
40.0,1717176747000,40.9
41.0,1717176757000,17.3
42.0,1717176767000,37.7
43.0,1717176777000,31.8
44.0,1717176788000,48.5
45.0,1717176798000,16.6
46.0,1717176808000,25.0
47.0,1717176818000,51.5
48.0,1717176828000,32.6
49.0,1717176838000,18.3
50.0,1717176848000,34.7
51.0,1717176858000,51.9
52.0,1717176868000,38.8
53.0,1717176878000,14.5
54.0,1717176888000,31.0
55.0,1717176898000,41.8
56.0,1717176908000,30.9
57.0,1717176918000,17.2
58.0,1717176928000,37.8
59.0,1717176938000,44.3
60.0,1717176948000,36.5
61.0,1717176958000,17.2
62.0,1717176968000,42.1
63.0,1717176978000,49.7
64.0,1717176988000,29.6
65.0,1717176998000,19.5
66.0,1717177008000,33.1
67.0,1717177018000,50.5
68.0,1717177028000,27.9
69.0,1717177038000,18.7
70.0,1717177048000,34.0
71.0,1717177058000,54.6
72.0,1717177068000,29.0
73.0,1717177072000,15.4
74.0,1717177074000,0.8
75.0,1717177074000,2.0
76.0,1717177075000,1.7
77.0,1717177075000,1.9
78.0,1717177075000,5.4
79.0,1717177075000,5.6
80.0,1717177075000,3.8
81.0,1717177076000,3.0
82.0,1717177076000,1.6
83.0,1717177076000,1.8
84.0,1717177076000,3.7
85.0,1717177086000,20.2
