"Id","Tags","num_channels","train/epoch/acc (max)","val/epoch/acc (max)","test/epoch/acc (max)","train/epoch/iou (max)","val/epoch/iou (max)","test/epoch/iou (max)"
"NETINT-1","[""Extension 4""]","24","0.6810836791992188","0.761103630065918","0.6801033020019531","0.3774268925189972","0.3780433237552643","0.38141220808029175"
"NETINT-2","[""Extension 4""]","24","0.693922758102417","0.7784500122070312","0.6619495153427124","0.398840069770813","0.4471486806869507","0.3701476752758026"
"NETINT-3","[""Extension 4""]","24","0.6757227182388306","0.726466178894043","0.746347963809967","0.36938536167144775","0.3879988193511963","0.3861335217952728"
"NETINT-4","[""Extension 3""]","13","0.6519139409065247","0.6839020848274231","0.6431246399879456","0.3462301194667816","0.3483497202396393","0.2827308773994446"
"NETINT-5","[""Extension 3""]","13","0.6669009327888489","0.6820223927497864","0.6937075257301331","0.3559717535972595","0.3555551767349243","0.33800897002220154"
"NETINT-6","[""Extension 3""]","13","0.6568595767021179","0.7272529602050781","0.6973429322242737","0.34250158071517944","0.3925277292728424","0.34023600816726685"
"NETINT-7","[""Extension 2""]","16","0.6756770610809326","0.6974512934684753","0.7261993885040283","0.3736156225204468","0.3805358111858368","0.3743758499622345"
"NETINT-8","[""Extension 2""]","16","0.6620832681655884","0.7754936218261719","0.7056108117103577","0.3586306571960449","0.3888413608074188","0.3929314911365509"
"NETINT-9","[""Extension 2""]","16","0.7123029232025146","0.7377417683601379","0.6889946460723877","0.3965882658958435","0.4257203936576843","0.3742051422595978"
"NETINT-10","[""Extension 1""]","6","0.6618050932884216","0.7188294529914856","0.6885861754417419","0.3598772883415222","0.3359236419200897","0.3868192434310913"
"NETINT-11","[""Extension 1""]","6","0.641120970249176","0.6751158833503723","0.7073822021484375","0.33166012167930603","0.341079980134964","0.35337918996810913"
"NETINT-12","[""Extension 1""]","6","0.7047077417373657","0.7042267918586731","0.725691020488739","0.4005473256111145","0.3595825731754303","0.37237614393234253"
"NETINT-13","[""Baseline""]","5","0.6747851371765137","0.6728960871696472","0.6634112000465393","0.35689693689346313","0.3729437291622162","0.2967664301395416"
"NETINT-14","[""Baseline""]","5","0.6452785134315491","0.63447505235672","0.7185412049293518","0.32734936475753784","0.2832947373390198","0.3424098789691925"
"NETINT-15","[""Baseline""]","5","0.673776388168335","0.7483606338500977","0.7668536901473999","0.36862465739250183","0.40479373931884766","0.3641990125179291"
